epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3137.88,0.6403,0.79863,1.04021,0.7604,0.71045,0.76018,0.66203,0.53036,0.72052,0.96819,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3232.52,0.63816,0.79068,1.03827,0.70822,0.70231,0.7513,0.65089,0.52635,0.71266,0.97021,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3332.69,0.63795,0.78478,1.03731,0.79178,0.6466,0.73631,0.63518,0.52678,0.71897,0.96546,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3427.92,0.63349,0.77685,1.03537,0.76642,0.68223,0.74678,0.64646,0.52772,0.71051,0.96861,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3521.94,0.6268,0.76526,1.02892,0.67696,0.73189,0.74421,0.64533,0.52491,0.71185,0.96964,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3623.25,0.62213,0.75777,1.02809,0.78581,0.69188,0.77514,0.67307,0.52207,0.69449,0.966,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3720.71,0.62215,0.75227,1.02914,0.73608,0.71139,0.76256,0.66556,0.52357,0.70059,0.96391,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3818.75,0.61426,0.73801,1.02304,0.77584,0.7076,0.76651,0.66142,0.52262,0.68785,0.96574,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3912.49,0.61011,0.72954,1.02085,0.72175,0.74635,0.77188,0.67457,0.51932,0.69264,0.96659,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4007.1,0.6117,0.72716,1.02004,0.81614,0.66843,0.7611,0.66116,0.5176,0.68175,0.96056,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
